path,spoken_language,signed_language,start,end,words,glosses,priority
sgg\126464.pose,de,sgg,0,2.16,WETTEN,wetten,
sgg\112853.pose,de,sgg,0,2.583333333333333,TREPPE,treppe,
sgg\112877.pose,de,sgg,0,2.958333333333333,NACHTHEMD,nachthemd,
sgg\127903.pose,de,sgg,0,2.08,MOMBASA,mombasa,
sgg\117233.pose,de,sgg,0,2.16,PICKNICK,picknicken,
sgg\129216.pose,de,sgg,0,2.68,UBS,ubs,
sgg\123747.pose,de,sgg,0,2.875,TRAUUNG,trauung,
sgg\116475.pose,de,sgg,0,2.25,INDIANER,indianer,
sgg\111936.pose,de,sgg,0,2.333333333333333,PLASTIK,plastik,
sgg\117630.pose,de,sgg,0,2.16,SPANISCH,spanisch,
sgg\112960.pose,de,sgg,0,2.25,GEHÖR,gehören,
sgg\115473.pose,de,sgg,0,2.833333333333333,STEMPEL,stempeln,
sgg\125175.pose,de,sgg,0,2.5,DOPPELFEHLER,doppelfehler,
sgg\113023.pose,de,sgg,0,3.0,HIROSHIMA,hiroshima,
sgg\129234.pose,de,sgg,0,2.84,NIKOTIN,nikotin,
sgg\129549.pose,de,sgg,0,3.0,RÖNTGEN,röntgen,
sgg\126973.pose,de,sgg,0,2.2916666666666665,STRAFE,strafen,
sgg\128426.pose,de,sgg,0,2.4,LAKTOSE,laktose,
sgg\115738.pose,de,sgg,0,1.8,FIESCH,fiesch,
sgg\113376.pose,de,sgg,0,2.4,DUBAI,dubai,
sgg\124076.pose,de,sgg,0,2.4,VETERAN,veteran,
sgg\123896.pose,de,sgg,0,2.333333333333333,RAPPEN,rappen,
sgg\112909.pose,de,sgg,0,2.96,DISKRET,diskret,
sgg\113218.pose,de,sgg,0,2.458333333333333,THOMAS GOTTSCHALK,thoma gottschalk,
sgg\117957.pose,de,sgg,0,2.958333333333333,DROGEN,droge,
sgg\113008.pose,de,sgg,0,2.125,JAGEN,jagen,
sgg\126896.pose,de,sgg,0,2.56,HOT DOG,hot dog,
sgg\116160.pose,de,sgg,0,2.88,TANGO,tango,
sgg\126660.pose,de,sgg,0,2.2916666666666665,SAUER,sauer,
sgg\114042.pose,de,sgg,0,2.6666666666666665,GARTEN,garen,
sgg\117824.pose,de,sgg,0,2.9166666666666665,ABENDSCHICHT,abendschicht,
sgg\130124.pose,de,sgg,0,2.6666666666666665,WEITERBILDUNG,weiterbildung,
sgg\128217.pose,de,sgg,0,2.08,AMT,amt,
sgg\129403.pose,de,sgg,0,3.333333333333333,AUFSITZEN,aufsitzen,
sgg\123397.pose,de,sgg,0,2.833333333333333,RETTUNGSSCHIRM,rettungsschirm,
sgg\125983.pose,de,sgg,0,2.88,RAMPENLICHT,rampenlicht,
sgg\125919.pose,de,sgg,0,2.12,LACHS,lachs,
sgg\125794.pose,de,sgg,0,3.28,REEDEREI,reederei,
sgg\117934.pose,de,sgg,0,3.333333333333333,ELFENBEINKÜSTE,elfenbeinküste,
sgg\127918.pose,de,sgg,0,2.4166666666666665,SCHLANGE,schlange,
sgg\124532.pose,de,sgg,0,2.0,ROLLE,rollen,
sgg\126378.pose,de,sgg,0,2.2,TÖTEN,töten,
sgg\112457.pose,de,sgg,0,2.28,SKRUPELLOS,skrupellos,
sgg\124589.pose,de,sgg,0,2.5416666666666665,TANZEN,tanzen,
sgg\125747.pose,de,sgg,0,3.2916666666666665,KLEINHIRN,kleinhirn,
sgg\118137.pose,de,sgg,0,3.0,KANDIDAT,kandidat,
sgg\116069.pose,de,sgg,0,3.458333333333333,LINIENRICHTER,linienrichter,
sgg\112471.pose,de,sgg,0,2.72,ABTREIBEN,abtreiben,
sgg\117868.pose,de,sgg,0,2.6666666666666665,BASKENLAND,baskenland,
sgg\123778.pose,de,sgg,0,3.4,PALMSONNTAG,palmsonntag,
sgg\127186.pose,de,sgg,0,2.48,KNOTEN,knoten,
sgg\125962.pose,de,sgg,0,2.12,QUELLE,quellen,
sgg\114350.pose,de,sgg,0,2.875,ELTERN,eltern,
sgg\113900.pose,de,sgg,0,2.9166666666666665,BUBENRIEGE,bubenriege,
sgg\117847.pose,de,sgg,0,2.875,ATHEISMUS,atheismus,
sgg\117591.pose,de,sgg,0,2.583333333333333,KOMMUNIST,kommunist,
sgg\126059.pose,de,sgg,0,2.84,BADEMEISTER,bademeister,
sgg\113824.pose,de,sgg,0,2.5416666666666665,ENGLAND,england,
sgg\115293.pose,de,sgg,0,2.833333333333333,GRASSHOPPER CLUB ZÜRICH,grasshopper club zürich,
sgg\116871.pose,de,sgg,0,2.083333333333333,PÜNKTLICH,pünktlich,
sgg\115861.pose,de,sgg,0,2.44,STÖRFAKTOR,störfaktor,
sgg\125542.pose,de,sgg,0,2.9166666666666665,KÜHLSCHRANK,kühlschrank,
sgg\118152.pose,de,sgg,0,2.958333333333333,KOALITION,koalition,
sgg\125211.pose,de,sgg,0,2.583333333333333,VOLLZEIT,vollzeit,
sgg\128372.pose,de,sgg,0,2.5,BUCHBINDER,buchbinder,
sgg\112257.pose,de,sgg,0,2.9166666666666665,PAELLA,paella,
sgg\113435.pose,de,sgg,0,2.5,UNGLAUBLICH,unglaublich,
sgg\112107.pose,de,sgg,0,2.6666666666666665,OPEL,opel,
sgg\126319.pose,de,sgg,0,2.583333333333333,KRAUSE,krausen,
sgg\129431.pose,de,sgg,0,2.625,AUFSTEHEN,aufstehen,
sgg\115894.pose,de,sgg,0,2.625,ANWALT,anwalt,
sgg\125673.pose,de,sgg,0,2.7916666666666665,ELLE,elle,
sgg\112950.pose,de,sgg,0,2.5,WUNDERBAR,wunderbar,
sgg\111646.pose,de,sgg,0,2.4166666666666665,ORT,orten,
sgg\127014.pose,de,sgg,0,2.25,PAAR,paar,
sgg\112536.pose,de,sgg,0,2.56,EXCEL,excel,
sgg\129264.pose,de,sgg,0,2.56,VERSCHIEBEN,verschieben,
sgg\112663.pose,de,sgg,0,2.64,MISSOURI,missouri,
sgg\118097.pose,de,sgg,0,2.7916666666666665,INGENIEUR,ingenieur,
sgg\117182.pose,de,sgg,0,3.0416666666666665,TASTEN,tasten,
sgg\114741.pose,de,sgg,0,3.0,JULI,juli,
sgg\118201.pose,de,sgg,0,3.125,LUGANO,lugano,
